"行","EPSGコード","経度","緯度","拠点番号","拠点名","町名","目　標","開設状況","開設時間","種類"
"1","EPSG:4612","139.70243","35.53017208333333","川崎 14","川崎市役所","川崎市川崎区東田町5-4","川崎市役所南庁舎前","× 非開設","-","管路上"
"2","EPSG:4612","139.67313069444444","35.54084780555556","幸 30","新小倉小学校","川崎市幸区新小倉2-15","市立新小倉小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"3","EPSG:4612","139.62271711111111","35.59600372222222","高津 36","坂戸小学校","川崎市高津区坂戸1-18-1","市立坂戸小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"4","EPSG:4612","139.5894991388889","35.59740019444445","高津 27","南原小学校","川崎市高津区上作延3-9-1","市立南原小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"5","EPSG:4612","139.49974944444443","35.58701325","麻生 23","柿生中学校","川崎市麻生区上麻生6-40-1","市立柿生中学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"6","EPSG:4612","139.67875908333335","35.54853469444444","幸 22","塚越中学校","川崎市幸区塚越1-60","市立塚越中学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"7","EPSG:4612","139.69373266666668","35.53816480555555","幸 19","幸町小学校","川崎市幸区中幸町2-17","市立幸町小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"8","EPSG:4612","139.62990722222222","35.59697655555556","高津 1","北見方","川崎市高津区北見方1-11-2","第三京浜道路下、渡辺ハイツ前","× 非開設","-","管路上"
"9","EPSG:4612","139.6318395","35.59174038888889","中原 31","大谷戸小学校","川崎市中原区上小田中1-27-1","市立大谷戸小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"10","EPSG:4612","139.71532355555556","35.52410994444445","川崎 57","向小学校","川崎市川崎区大島4-17-1","市立向小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"11","EPSG:4612","139.6926131388889","35.51929611111111","川崎 58","京町小学校","川崎市川崎区京町1-1-4","市立京町小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"12","EPSG:4612","139.71752552777778","35.51696041666667","川崎 59","大島小学校","川崎市川崎区浜町1-5-1","市立大島小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"13","EPSG:4612","139.70815133333332","35.52783186111111","川崎 60","富士見中学校","川崎市川崎区富士見2-1-2","市立富士見中学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"14","EPSG:4612","139.72727847222222","35.52322397222222","川崎 61","桜本中学校","川崎市川崎区池上新町1-2-4","市立桜本中学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"15","EPSG:4612","139.7154313888889","35.52739644444444","川崎 62","川崎高付属中学校","川崎市川崎区中島3-3-1","市立川崎高付属中学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"16","EPSG:4612","139.72225297222224","35.52068777777778","川崎 63","さくら小学校","川崎市川崎区桜本1-9-15","市立さくら小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"17","EPSG:4612","139.66551625","35.54115455555556","幸 28","小倉小学校","川崎市幸区小倉2-20-1","市立小倉小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"18","EPSG:4612","139.66183894444444","35.55384525","幸 29","日吉中学校","川崎市幸区北加瀬2-3-1","市立日吉中学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"19","EPSG:4612","139.65520072222222","35.55744880555556","中原 45","木月小学校","川崎市中原区木月4-53-1","市立木月小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"20","EPSG:4612","139.6178586388889","35.595052555555554","高津 33","久本小学校","川崎市高津区久本3-11-3","市立久本小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"21","EPSG:4612","139.6004286388889","35.60351822222222","高津 34","下作延小学校","川崎市高津区下作延5-19-1","市立下作延小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"22","EPSG:4612","139.6214476388889","35.591814944444444","高津 35","東高津中学校","川崎市高津区末長4-1-1","市立東高津中学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"23","EPSG:4612","139.54201927777777","35.59593297222222","宮前 43","稗原小学校","川崎市宮前区水沢3-7-1","市立稗原小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"24","EPSG:4612","139.5801441388889","35.588350166666665","宮前 44","富士見台小学校","川崎市宮前区宮前平2-18-3","市立富士見台小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"25","EPSG:4612","139.5676138888889","35.59557961111111","宮前 45","白幡台小学校","川崎市宮前区南平台13-1","市立白幡台小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"26","EPSG:4612","139.55717752777778","35.598039166666666","宮前 46","菅生小学校","川崎市宮前区菅生1-5-1","市立菅生小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"27","EPSG:4612","139.5766246388889","35.600295527777774","宮前 47","向丘小学校","川崎市宮前区平1-6-1","市立向丘小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"28","EPSG:4612","139.52292241666666","35.63658702777778","多摩 46","菅中学校","川崎市多摩区菅城下28-1","市立菅中学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"29","EPSG:4612","139.55056433333334","35.616065","多摩 47","東生田小学校","川崎市多摩区枡形4-9-1","市立東生田小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"30","EPSG:4612","139.48342072222223","35.57898794444444","麻生 40","岡上小学校","川崎市麻生区岡上675-1","市立岡上小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"31","EPSG:4612","139.52788480555554","35.59782091666667","麻生 41","長沢小学校","川崎市麻生区東百合丘2-24-7","市立長沢小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"32","EPSG:4612","139.52442225","35.59845611111111","麻生 42","長沢中学校","川崎市麻生区東百合丘4-12-1","市立長沢中学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"33","EPSG:4612","139.4958684722222","35.59104991666667","麻生 43","柿生小学校","川崎市麻生区片平3-3-1","市立柿生小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"34","EPSG:4612","139.51927633333332","35.59653725","麻生 3","東百合丘（１）","川崎市麻生区東百合丘4-42-7","三井住友銀行東百合丘出張所前","× 非開設","-","管路上"
"35","EPSG:4612","139.65080372222224","35.55882597222222","中原 3","木月","川崎市中原区木月4-32-1","東急東横線ガード横下","× 非開設","-","管路上"
"36","EPSG:4612","139.69896944444446","35.51287258333333","川崎 49","田島中学校","川崎市川崎区小田2-21-7","市立田島中学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"37","EPSG:4612","139.72549777777778","35.52544525","川崎 50","藤崎小学校","川崎市川崎区藤崎3-2-1","市立藤崎小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"38","EPSG:4612","139.70674958333333","35.51223933333333","川崎 51","東小田小学校","川崎市川崎区小田5-11-20","市立東小田小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"39","EPSG:4612","139.71934619444446","35.523530694444446","川崎 52","東大島小学校","川崎市川崎区大島5-25-1","市立東大島小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"40","EPSG:4612","139.70295691666666","35.50740441666667","川崎 53","浅田小学校","川崎市川崎区浅田2-11-21","市立浅田小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"41","EPSG:4612","139.64365172222222","35.56931494444444","中原 36","井田中学校","川崎市中原区井田杉山町11-1","市立井田中学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"42","EPSG:4612","139.63833086111111","35.579874527777775","中原 37","大戸小学校","川崎市中原区下小田中1-4-1","市立大戸小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
