全国地方公共団体コード,ID,地方公共団体名,介護サービス事業所名称,介護サービス事業所名称_カナ,介護サービス事業所名称_英字,実施サービス,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,FAX番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,画像,画像_ライセンス,備考
141305,1.41305E+11,神奈川県川崎市,地域包括支援センタービオラ川崎,チキホウカツシエンセンタービオラカワサキ,,地域包括支援センター,141313,,神奈川県川崎市川崎区小田栄2-1-7特別養護老人ホームビオラ川崎内,神奈川県,川崎市,川崎区小田栄,,,35.512558,139.709866,,,(044)329-1680,,(044)322-2553,,,,"210-0843",,社会福祉法人　中川徳生会,,,,,https://www.city.kawasaki.jp/350/page/0000022091.html,,,
141305,1.41305E+11,神奈川県川崎市,大師の里地域包括支援センター,ダイシノサトチイキホウカツシエンセンター,,地域包括支援センター,141313,,神奈川県川崎市川崎区日ノ出2-7-1特別養護老人ホーム大師の里内,神奈川県,川崎市,川崎区日ノ出,,,35.53055,139.743172,,,(044)266-9130,,(044)266-9131,,,,"210-0824",,社会福祉法人　馬島福祉会,,,,,https://www.city.kawasaki.jp/350/page/0000022095.html,,,併設特別養護老人ホーム;老人デイサービスセンター
141305,1.41305E+11,神奈川県川崎市,大島中島地域包括支援センター,オオシマナカジマチイキホウカツシエンセンター,,地域包括支援センター,141313,,神奈川県川崎市川崎区中島2-3-2,神奈川県,川崎市,川崎区中島,,,35.529088,139.715087,,,(044)201-8831,,(044)201-8834,,,,"210-0806",,医療法人　啓和会,,,,,https://www.city.kawasaki.jp/350/page/0000022097.html,,,
141305,1.41305E+11,神奈川県川崎市,藤崎地域包括支援センター,フジサキチイキホウカツシンセンター,,地域包括支援センター,141313,,神奈川県川崎市川崎区藤崎4-20-1矢口ビル1階,神奈川県,川崎市,川崎区藤崎,,,35.524085,139.722444,,,(044)270-3215,,(044)270-5682,,,,"210-0804",,川崎医療生活協同組合,,,,,https://www.city.kawasaki.jp/350/page/0000022102.html,,,
141305,1.41305E+11,神奈川県川崎市,大師中央地域包括支援センター,ダイシチュウオウチイキホウカツシエンセンター,,地域包括支援センター,141313,,神奈川県川崎市川崎区大師駅前1-1-5川崎大師パークホームズ1階,神奈川県,川崎市,川崎区大師駅前,,,35.534341,139.725379,,,(044)270-5112,,(044)287-5562,,,,"210-0802",,社会福祉法人　川崎市社会福祉協議会,,,,,https://www.city.kawasaki.jp/350/page/0000022104.html,,,
141305,1.41305E+11,神奈川県川崎市,京町地域包括支援センター,キョウマチチイキホウカツシエンセンター,,地域包括支援センター,141313,,神奈川県川崎市川崎区京町2-15-6神和ビル3階,神奈川県,川崎市,川崎区京町,,,35.513995,139.696498,,,(044)333-7920,,(044)333-7938,,,,"210-0848",,川崎医療生活協同組合,,,,,https://www.city.kawasaki.jp/350/page/0000022107.html,,,併設訪問看護ステーション
141305,1.41305E+11,神奈川県川崎市,しおん地域包括支援センター,シオンチイキホウカツシエンセンター,,地域包括支援センター,141313,,神奈川県川崎市川崎区本町1-1-1母子育成会総合福祉施設内,神奈川県,川崎市,川崎区本町,,,35.533265,139.70167,,,(044)222-7792,,(044)222-7796,,,,"210-0001",,社会福祉法人　母子育成会,,,,,https://www.city.kawasaki.jp/350/page/0000022111.html,,,併設老人デイサービスセンター;老人短期入所施設;合築川崎乳児保育所;夜間保育所「あいいく」
141305,1.41305E+11,神奈川県川崎市,恒春園地域包括支援センター,コウシュンエンチイキホウカツシエンセンター,,地域包括支援センター,141313,,神奈川県川崎市川崎区小川町10-10特別養護老人ホーム恒春園内,神奈川県,川崎市,川崎区小川町,,,35.526578,139.696295,,,(044)211-6313,,(044)223-1240,,,,"210-0023",,社会福祉法人　馬島福祉会,,,,,https://www.city.kawasaki.jp/350/page/0000022113.html,,,併設特別養護老人ホーム;老人デイサービスセンター
141305,1.41305E+11,神奈川県川崎市,桜寿園地域包括支援センター,サクラコトブキエンチイキホウカツシエンセンター,,地域包括支援センター,141313,,神奈川県川崎市川崎区桜本2-39-4特別養護老人ホーム桜寿園内,神奈川県,川崎市,川崎区桜本,,,35.521309,139.726214,,,(044)287-2558,,(044)287-2577,,,,"210-0833",,社会福祉法人　セイワ,,,,,https://www.city.kawasaki.jp/350/page/0000022116.html,,,併設特別養護老人ホーム;老人デイサービスセンター
141305,1.41305E+11,神奈川県川崎市,みんなと暮らす町地域包括支援センター,ミンナトクラスマチチイキホウカツシエンセンター,,地域包括支援センター,141321,,神奈川県川崎市幸区東古市場116-12特別養護老人ホームみんなと暮らす町内,神奈川県,川崎市,幸区東古市場,,,35.551607,139.688119,,,(044)520-1905,,(044)520-1906,,,,"212-0051",,社会福祉法人　照陽会,,,,,https://www.city.kawasaki.jp/350/page/0000022121.html,,,併設特別養護老人ホーム;老人デイサービスセンター
141305,1.41305E+11,神奈川県川崎市,さいわい東地域包括支援センター,サイワイヒガシチイキホウカツシエンセンター,,地域包括支援センター,141321,,神奈川県川崎市幸区戸手4-1-9,神奈川県,川崎市,幸区戸手,,,35.543285,139.693752,,,(044)555-1411,,(044)555-1412,,,,"212-0005",,医療法人　啓和会,,,,,https://www.city.kawasaki.jp/350/page/0000022125.html,,,
141305,1.41305E+11,神奈川県川崎市,幸風苑地域包括支援センター,コウカゼソノチイキホウカツシエンセンター,,地域包括支援センター,141321,,神奈川県川崎市幸区都町4-1特別養護老人ホーム幸風苑内,神奈川県,川崎市,幸区都町,,,35.536671,139.687497,,,(044)556-4355,,(044)511-3511,,,,"210-0021",,社会福祉法人　セイワ,,,,,https://www.city.kawasaki.jp/350/page/0000022127.html,,,併設特別養護老人ホーム;老人デイサービスセンター
141305,1.41305E+11,神奈川県川崎市,しゃんぐりら地域包括支援センター,シャングリラチイキホウカツシエンセンター,,地域包括支援センター,141321,,神奈川県川崎市幸区東小倉6-1特別養護老人ホームしゃんぐりら内,神奈川県,川崎市,幸区東小倉,,,35.546497,139.676744,,,(044)520-3863,,(044)520-3861,,,,"212-0033",,社会福祉法人　母子育成会,,,,,https://www.city.kawasaki.jp/350/page/0000022139.html,,,併設特別養護老人ホーム;老人デイサービスセンター
141305,1.41305E+11,神奈川県川崎市,かしまだ地域包括支援センター,カシマダチイキホウカツシエンセンター,,地域包括支援センター,141321,,神奈川県川崎市幸区新塚越201ルリエ新川崎6階,神奈川県,川崎市,幸区新塚越,,,35.550617,139.675961,,,(044)540-3222,,(044)540-3220,,,,"212-0027",,医財団)石心会,,,,,https://www.city.kawasaki.jp/350/page/0000022131.html,,,
141305,1.41305E+11,神奈川県川崎市,夢見ヶ崎地域包括支援センター,ユメミガサキチイキホウカツシエンセンター,,地域包括支援センター,141321,,神奈川県川崎市幸区南加瀬1-7-14特別養護老人ホーム夢見ヶ崎内,神奈川県,川崎市,幸区南加瀬,,,35.547108,139.66772,,,(044)580-4765,,(044)742-8040,,,,"212-0055",,社会福祉法人　和楽会,,,,,https://www.city.kawasaki.jp/350/page/0000022134.html,,,併設特別養護老人ホーム;老人デイサービスセンター
